[0] WaveName,[1] PrefabName,[2] ProcessStartTime,[3] ProcessCount,[4] ProcessIntervalInterval,[5] CompClass,[6] CompClass.ApplyParameters,[7] SpawnMin,[8] SpawnMax,[9] ProcessEndTime,[10] SpawnDelay,[11] WaveIncreaseRate,[12] StatusOverrides,[13] ExpAdditionPerWave,[14] ExpMultiplierPerWave,[15] ScoreAdditionPerWave,[16] ScoreMultiplierPerWave,[17] DestroyTime,[18] IsClear,[19] PreviewEffectName,[20] SpawneEffectName,[21] FirstProcessSEName,[22] FirstProcessSEVolume
EasyWave1,Enemy_Normal_Comp,0,8,2,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,5,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,10,3,0.5,SpawnSide,spawnDirection:Right,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,15,3,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,20,3,0.5,SpawnSide,spawnDirection:Left,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,25,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,30,3,0.5,SpawnSide,spawnDirection:Up,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,35,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,40,3,0.5,SpawnSide,spawnDirection:Down,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,45,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,50,5,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
EasyWave1,Enemy_Normal_Comp,55,1,0.1,SpawnRandomRange,minDistance:8;maxDistance:14,5,5,0,1,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave2,Enemy_Normal_Comp,1,15,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
EasyWave2,Enemy_Normal_Comp,5,5,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
EasyWave2,Enemy_Normal_Comp,10,3,0.5,SpawnSide,spawnDirection:Up,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
EasyWave2,Enemy_Normal_Comp,10,3,0.5,SpawnSide,spawnDirection:Down,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
EasyWave2,Enemy_Normal_Comp,20,10,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
EasyWave2,Enemy_Normal_Comp,30,1,5,SpawnRectangle,sizex:14;sizey:10,10,10,0,1,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave2,Enemy_Sniper_Comp,40,2,0.5,SpawnSide,spawnDirection:Right,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
EasyWave2,Enemy_Sniper_Comp,40,2,0.5,SpawnSide,spawnDirection:Left,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
EasyWave2,Enemy_Normal_Comp,50,10,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
EasyWave2,Enemy_Normal_Comp,55,1,0.1,SpawnRandomRange,minDistance:8;maxDistance:14,1,1,0,1,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave3,Enemy_Sniper_Comp,5,10,2,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Normal_Comp,5,3,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Normal_Comp,10,5,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Normal_Comp,20,1,5,SpawnOval,radiusx:10;radiusy:8,13,13,0,1,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave3,Enemy_Sniper_Comp,30,3,1,SpawnSide,spawnDirection:UpperRight,1,1,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Sniper_Comp,30,3,1,SpawnSide,spawnDirection:LowerLeft,1,1,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Normal_Comp,35,2,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Sniper_Comp,40,3,1,SpawnSide,spawnDirection:UpperLeft,1,1,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Sniper_Comp,40,3,1,SpawnSide,spawnDirection:LowerRight,1,1,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Normal_Comp,45,2,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Normal_Comp,45,2,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Enemy_Sniper_Comp,50,2,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,FALSE,,,,0.5
EasyWave3,Boss_Normal_Comp,59,1,0.1,SpawnRandomRange,minDistance:6;maxDistance:9,5,5,0,1,0.5,"MaxHP:1.4:0;ATK:1.3:0,Speed:1.2:0,DashSpeed:1.2:0",7,0.1,15,0.1,0,TRUE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave4,Enemy_Tank_Comp,1,2,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.6:0;ATK:1.3:5,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,,,,0.5
EasyWave4,Enemy_Normal_Comp,5,1,1,SpawnOval,radiusx:10;radiusy:8,6,6,0,1,0.5,"MaxHP:1.6:0;ATK:1.3:5,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave4,Enemy_Tank_Comp,10,3,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,,,,0.5
EasyWave4,Enemy_Normal_Comp,15,2,0.5,SpawnSide,spawnDirection:Up,1,1,0,0,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,,,,0.5
EasyWave4,Enemy_Normal_Comp,15,2,0.5,SpawnSide,spawnDirection:Down,1,1,0,0,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,,,,0.5
EasyWave4,Enemy_Normal_Comp,20,1,1,SpawnRectangle,sizex:25;sizey:20,30,30,0,1,0.5,"MaxHP:1.9:20;ATK:1.4:0,Speed:0.2:0,DashSpeed:0.2:0",13,0.15,20,0.15,15,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave4,Enemy_Normal_Comp,25,3,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,,,,0.5
EasyWave4,Enemy_Tank_Comp,30,2,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,,,,0.5
EasyWave4,Enemy_Sniper_Comp,35,2,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,,,,0.5
EasyWave4,Enemy_Normal_Comp,40,1,1,SpawnRectangle,sizex:14;sizey:10,8,8,0,1,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave4,Enemy_Tank_Comp,50,2,0.5,SpawnSide,spawnDirection:Right,1,1,0,0,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,,,,0.5
EasyWave4,Enemy_Tank_Comp,50,2,0.5,SpawnSide,spawnDirection:Left,1,1,0,0,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,FALSE,,,,0.5
EasyWave4,Boss_Sniper_Comp,59,1,0.1,SpawnRandomRange,minDistance:6;maxDistance:9,1,1,0,1,0.5,"MaxHP:1.6:0;ATK:1.4:0,Speed:1.3:0,DashSpeed:1.3:0",13,0.15,20,0.15,0,TRUE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave5,Enemy_Sniper_Comp,5,5,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,,,,0.5
EasyWave5,Enemy_Sniper_Comp,5,1,1,SpawnOval,radiusx:15;radiusy:12,6,6,0,1,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave5,Enemy_Tank_Comp,10,3,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,,,,0.5
EasyWave5,Enemy_Normal_Comp,15,1,1,SpawnOval,radiusx:12;radiusy:9,6,6,0,1,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave5,Enemy_Normal_Comp,20,1,1,SpawnRectangle,sizex:25;sizey:20,30,30,0,1,0.5,"MaxHP:2.0:20;ATK:1.5:0,Speed:0.2:0,DashSpeed:0.2:0",20,0.2,25,0.2,15,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave5,Enemy_Sniper_Comp,22,3,0.5,SpawnSide,spawnDirection:Up,1,2,0,0,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,,,,0.5
EasyWave5,Enemy_Sniper_Comp,22,3,0.5,SpawnSide,spawnDirection:Right,1,2,0,0,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,,,,0.5
EasyWave5,Enemy_Tank_Comp,25,1,1,SpawnRectangle,sizex:18;sizey:14,4,4,0,1,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave5,Enemy_Normal_Comp,30,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,,,,0.5
EasyWave5,Enemy_Normal_Comp,35,3,0.5,SpawnSide,spawnDirection:Down,1,2,0,0,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,,,,0.5
EasyWave5,Enemy_Normal_Comp,35,3,0.5,SpawnSide,spawnDirection:Left,1,2,0,0,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,,,,0.5
EasyWave5,Enemy_Sniper_Comp,40,1,1,SpawnOval,radiusx:10;radiusy:8,6,6,0,1,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave5,Enemy_Tank_Comp,45,1,1,SpawnRectangle,sizex:18;sizey:14,4,4,0,1,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave5,Enemy_Normal_Comp,50,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,,,,0.5
EasyWave5,Enemy_Normal_Comp,55,1,0.1,SpawnRandomRange,minDistance:8;maxDistance:14,3,3,0,1,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyWave5,Boss_Tank_Comp,59,1,0.1,SpawnRandomRange,minDistance:8;maxDistance:14,3,3,0,1,0.5,"MaxHP:1.8:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",20,0.2,25,0.2,0,TRUE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
EasyEndlessWave1,Enemy_Normal_Comp,1,5,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:2.0:0;ATK:1.5:0,Speed:1.5:0,DashSpeed:1.5:0",25,0.5,30,0.5,0,FALSE,,,,0.5
EasyEndlessWave1,Enemy_Sniper_Comp,10,4,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:2.0:0;ATK:1.5:0,Speed:1.5:0,DashSpeed:1.5:0",25,0.5,30,0.5,0,FALSE,,,,0.5
EasyEndlessWave1,Enemy_Tank_Comp,20,3,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:2.0:0;ATK:1.5:0,Speed:1.5:0,DashSpeed:1.5:0",25,0.5,30,0.5,0,FALSE,,,,0.5
EasyEndlessWave1,Enemy_Normal_Comp,30,5,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:2.0:0;ATK:1.5:0,Speed:1.5:0,DashSpeed:1.5:0",25,0.5,30,0.5,0,FALSE,,,,0.5
EasyEndlessWave1,Enemy_Sniper_Comp,40,4,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:2.0:0;ATK:1.5:0,Speed:1.5:0,DashSpeed:1.5:0",25,0.5,30,0.5,0,FALSE,,,,0.5
EasyEndlessWave1,Enemy_Tank_Comp,50,3,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:2.0:0;ATK:1.5:0,Speed:1.5:0,DashSpeed:1.5:0",25,0.5,30,0.5,0,FALSE,,,,0.5
