[0] WaveName,[1] PrefabName,[2] ProcessStartTime,[3] ProcessCount,[4] ProcessIntervalInterval,[5] CompClass,[6] CompClass.ApplyParameters,[7] SpawnMin,6,[9] ProcessEndTime,[10] SpawnDelay,[11] WaveIncreaseRate,[12] StatusOverrides,[13] ExpAdditionPerWave,[14] ExpMultiplierPerWave,[15] ScoreAdditionPerWave,[16] ScoreMultiplierPerWave,[17] DestroyTime,[18] IsClear,[19] PreviewEffectName,[20] SpawneEffectName,[21] FirstProcessSEName,[22] FirstProcessSEVolume
Wave1,Enemy_Normal_Comp,0,8,2,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,5,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,10,3,0.5,SpawnSide,spawnDirection:Right,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,15,3,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,20,3,0.5,SpawnSide,spawnDirection:Left,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,25,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,30,3,0.5,SpawnSide,spawnDirection:Up,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,35,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,40,3,0.5,SpawnSide,spawnDirection:Down,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,45,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
